云南移动
央视频道,#genre#
大理二套,http://39.130.202.76:6610/gitv_live/G_DALITV-2/G_DALITV-2.m3u8
大理市台,http://183.224.96.125:9000/TV/0/00000001000000050000000000000161/160.m3u8
漾濞综合,http://39.130.202.76:6610/gitv_live/G_YANGBI/G_YANGBI.m3u8
洱源综合,http://39.130.202.76:6610/gitv_live/G_ERYUAN/G_ERYUAN.m3u8
巍山综合,http://39.130.202.76:6610/gitv_live/G_WEISHAN/G_WEISHAN.m3u8
弥渡综合,http://39.130.202.76:6610/gitv_live/G_MIDUTV-1/G_MIDUTV-1.m3u8
云龙综合,http://39.130.202.76:6610/gitv_live/G_YUNLONGTV-1/G_YUNLONGTV-1.m3u8
宾川综合,http://39.130.202.76:6610/gitv_live/G_BINCHUANTV-1/G_BINCHUANTV-1.m3u8
鹤庆综合,http://39.130.202.76:6610/gitv_live/G_HEQING/G_HEQING.m3u8
永平综合,http://183.224.43.183:8007/TV/0/00000001000000050000000000000090/92.m3u8
剑川综合,http://183.224.96.125:9000/TV/0/00000001000000050000000000000175/171.m3u8
德宏新闻,http://39.130.202.76:6610/gitv_live/G_DEHONG-1/G_DEHONG-1.m3u8
德宏民语,http://39.130.202.76:6610/gitv_live/G_DEHONG-2/G_DEHONG-2.m3u8
芒市综合,http://39.130.202.76:6610/gitv_live/G_DEHONGMS/G_DEHONGMS.m3u8
盈江综合,http://39.130.202.76:6610/gitv_live/G_DEHONGYJ/G_DEHONGYJ.m3u8
陇川综合,http://39.130.202.76:6610/gitv_live/G_DEHONGLC/G_DEHONGLC.m3u8
瑞丽综合,http://live.ynurl.com/video/s10021-rltv/index.m3u8
梁河综合,http://live.ynurl.com/video/s10032-lhtv/index.m3u8
丽江新闻,http://39.130.202.76:6610/gitv_live/G_LIJIANGZH/G_LIJIANGZH.m3u8
丽江公共,http://39.130.202.76:6610/gitv_live/G_LIJIANGGG/G_LIJIANGGG.m3u8
永胜综合,http://39.130.202.76:6610/gitv_live/G_YONGSHENG/G_YONGSHENG.m3u8
玉龙综合,https://hwapi.yunshicloud.com/xe6m72/dzim44.m3u8
